playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,33535,26,17,27,22,126,14,9,6301,12,-1,90.5,W,F,9.72,3.48,0,55,191.4
8476468,J. Miller,VAN,C,31290,26,14,25,18,60,56,20,6549,2775,10,83.6,C,F,9.62,3.22,0,56,180.32000000000002
8480069,C. Makar,COL,D,33757,23,7,27,16,57,12,40,6191,4376,18,75.9,D,D,8.09,3.3,0,57,188.1
8477933,S. Reinhart,FLA,C,30853,25,17,15,10,63,13,28,5388,3200,15,75.60000000000001,C,F,8.82,3.02,0,57,172.14000000000001
8477492,N. MacKinnon,COL,C,33557,25,9,25,11,116,17,26,7245,78,9,74.8,C,F,8.02,2.99,0,57,170.43
8478403,J. Eichel,VGK,C,33111,27,12,18,11,116,8,28,7176,3421,2,73.9,C,F,8.03,2.74,0,55,150.70000000000002
8477956,D. Pastrnak,BOS,R,28095,24,14,22,15,114,24,4,5553,119,8,73.3,W,F,9.39,3.05,0,58,176.89999999999998
8478550,A. Panarin,NYR,L,28278,24,16,21,15,96,1,3,4737,4,1,71.7,W,F,9.13,2.99,0,58,173.42000000000002
8479318,A. Matthews,TOR,C,28457,22,16,9,8,93,31,28,4624,1593,0,71.4,C,F,9.03,3.25,0,60,195.0
8480865,N. Dobson,NYI,D,36234,24,5,17,11,61,18,62,4159,1661,7,71.4,D,D,7.09,2.98,0,58,172.84
8480012,E. Pettersson,VAN,C,31137,26,10,24,15,61,35,20,6865,2931,6,71.1,C,F,8.22,2.73,0,56,152.88
8480800,Q. Hughes,VAN,D,38775,26,9,27,15,77,11,19,6915,1618,18,70.8,D,D,6.57,2.72,0,56,152.32000000000002
8478366,F. Vatrano,ANA,R,27481,25,14,9,9,90,45,27,3401,3447,-3,68.5,W,F,8.97,2.74,0,57,156.18
8478444,B. Boeser,VAN,R,29368,26,18,12,11,70,15,9,6765,27,9,66.5,W,F,8.15,2.56,0,56,143.36
8476887,F. Forsberg,NSH,L,29162,25,13,16,10,102,43,9,6122,24,1,66.0,W,F,8.15,2.64,0,57,150.48000000000002
8480839,R. Dahlin,BUF,D,39120,26,6,15,7,66,47,48,4965,1021,-10,65.8,D,D,6.06,2.53,0,56,141.67999999999998
8476885,J. Trouba,NYR,D,32589,24,2,10,1,46,55,81,287,4984,10,65.1,D,D,7.19,2.71,0,58,157.18
8478420,M. Rantanen,COL,R,33272,25,12,19,12,76,11,13,7545,35,6,64.2,W,F,6.95,2.57,0,57,146.48999999999998
8478010,B. Point,TBL,C,32713,27,12,18,13,76,6,14,6091,39,-6,63.7,C,F,7.01,2.36,0,55,129.79999999999998
8478402,C. McDavid,EDM,C,27168,21,8,24,14,59,30,15,4414,1015,-1,63.4,C,F,8.4,3.02,0,59,178.18
8481542,M. Seider,DET,D,32490,24,4,13,11,45,47,55,4688,4444,6,63.199999999999996,D,D,7.0,2.63,0,58,152.54
8481559,J. Hughes,NJD,C,22761,18,10,23,15,88,4,6,3773,66,1,62.7,C,F,9.92,3.48,0,59,205.32
8477939,W. Nylander,TOR,R,27297,22,12,17,12,99,15,8,4582,928,1,62.4,W,F,8.23,2.84,0,60,170.39999999999998
8476432,B. Jenner,CBJ,C,31743,27,13,5,4,75,42,35,5175,2148,-1,62.2,C,F,7.05,2.3,0,55,126.49999999999999
8476875,M. Matheson,MTL,D,37314,25,5,13,10,59,14,53,6028,4180,-9,61.8,D,D,5.96,2.47,0,57,140.79000000000002
8475786,Z. Hyman,EDM,L,25728,22,15,11,6,78,20,15,4497,228,6,61.3,W,F,8.58,2.79,0,59,164.61
8474600,R. Josi,NSH,D,37382,25,5,13,9,95,17,45,6882,858,-3,61.2,D,D,5.89,2.45,0,57,139.65
8475188,B. McNabb,VGK,D,32678,27,1,8,1,28,33,89,35,5398,10,61.1,D,D,6.73,2.26,0,55,124.29999999999998
8471675,S. Crosby,PIT,C,29487,25,15,12,3,95,22,11,4992,208,12,60.7,C,F,7.41,2.43,0,57,138.51000000000002
8478398,K. Connor,WPG,L,29797,24,15,11,10,95,3,9,5327,121,-6,60.300000000000004,W,F,7.29,2.51,0,58,145.57999999999998
8477346,M. Weegar,CGY,D,32803,25,6,8,4,65,38,56,1945,3048,-1,60.3,D,D,6.62,2.41,0,57,137.37
8480803,E. Bouchard,EDM,D,30591,23,5,19,12,71,12,32,4929,411,-5,59.3,D,D,6.98,2.58,0,59,152.22
8475167,V. Hedman,TBL,D,38850,27,5,22,11,52,10,30,5512,3559,-2,58.7,D,D,5.44,2.17,0,55,119.35
8473419,B. Marchand,BOS,L,27947,24,11,12,11,84,23,16,5356,2966,0,58.2,W,F,7.5,2.43,0,58,140.94
8479407,J. Bratt,NJD,L,27019,23,10,18,16,58,19,9,4564,1250,-4,58.2,W,F,7.75,2.53,0,59,149.26999999999998
8470794,J. Pavelski,DAL,C,23271,24,11,13,7,57,23,22,3676,71,-2,57.5,C,F,8.9,2.4,0,58,139.2
8478493,J. Eriksson Ek,MIN,C,27709,23,12,7,7,82,38,22,5463,3091,3,57.5,C,F,7.47,2.5,0,59,147.5
8474564,S. Stamkos,TBL,C,27765,25,10,16,15,77,20,8,5829,72,-14,57.2,C,F,7.42,2.29,0,55,125.95
8476448,W. Karlsson,VGK,C,28617,27,12,13,8,65,8,17,4428,3728,10,56.8,C,F,7.15,2.1,0,55,115.5
8479410,M. Sergachev,TBL,D,37806,27,2,15,7,42,21,56,2796,3656,-14,56.8,D,D,5.41,2.1,0,55,115.5
8477934,L. Draisaitl,EDM,C,29692,23,10,19,14,69,12,5,4915,1435,-3,56.6,C,F,6.86,2.46,0,59,145.14
8475169,E. Kane,EDM,L,25298,23,11,9,5,75,90,12,2468,1201,-5,56.0,W,F,7.97,2.43,0,59,143.37
8478013,J. Walman,DET,D,26772,22,5,7,5,39,6,64,2203,3558,11,56.0,D,D,7.53,2.55,0,58,147.89999999999998
8475158,R. O'Reilly,NSH,C,30405,25,12,10,11,60,10,18,5788,2797,-1,55.5,C,F,6.57,2.22,0,57,126.54
8477404,J. Guentzel,PIT,L,30513,25,10,19,3,84,15,9,5073,127,10,54.9,W,F,6.48,2.2,0,57,125.4
8477946,D. Larkin,DET,C,26274,22,10,14,14,78,13,8,5157,2251,5,54.1,C,F,7.41,2.46,0,58,142.68
8476460,M. Scheifele,WPG,C,30294,24,8,19,9,60,15,14,5087,83,-1,54.0,C,F,6.42,2.25,0,58,130.5
8479325,C. McAvoy,BOS,D,29477,20,3,14,7,42,27,47,4145,3005,-3,53.9,D,D,6.58,2.7,0,58,156.60000000000002
8475692,M. Zuccarello,MIN,R,25308,23,6,21,13,65,4,15,5419,87,-1,53.9,W,F,7.67,2.34,0,59,138.06
8479343,C. Keller,ARI,R,27930,24,8,16,14,73,6,13,5199,39,-7,53.4,W,F,6.88,2.22,0,58,128.76000000000002
8480009,E. Tolvanen,SEA,R,25277,26,6,11,5,56,56,33,4295,106,2,53.2,W,F,7.58,2.05,0,56,114.79999999999998
8474565,A. Pietrangelo,VGK,D,31687,22,1,11,5,55,12,62,3120,4569,6,53.2,D,D,6.04,2.42,0,55,133.1
8479425,F. Hronek,VAN,D,38219,26,2,23,8,56,21,29,3323,3508,13,53.2,D,D,5.01,2.05,0,56,114.79999999999998
8480434,S. Durzi,ARI,D,32688,24,5,8,7,42,9,53,5041,1183,10,53.1,D,D,5.85,2.21,0,58,128.18
8480801,B. Tkachuk,OTT,L,23371,20,13,6,7,93,53,6,4835,74,2,53.1,W,F,8.18,2.66,0,62,164.92000000000002
8475184,C. Kreider,NYR,L,26954,24,14,8,11,59,21,7,4805,2663,6,53.0,W,F,7.08,2.21,0,58,128.18
8478483,M. Marner,TOR,R,28404,22,8,16,8,51,19,20,4596,3119,0,53.0,W,F,6.72,2.41,0,60,144.60000000000002
8477504,J. Morrissey,WPG,D,35226,24,4,16,8,57,19,34,5184,217,5,52.6,D,D,5.38,2.19,0,58,127.02
8478500,I. Provorov,CBJ,D,37294,27,2,13,5,36,19,54,3328,5094,-6,52.0,D,D,5.02,1.93,0,55,106.14999999999999
8479337,A. DeBrincat,DET,R,25649,24,13,11,7,79,10,5,5497,43,9,51.9,W,F,7.28,2.16,0,58,125.28
8478864,K. Kaprizov,MIN,L,28951,23,8,15,13,78,10,11,5900,149,-4,51.8,W,F,6.44,2.25,0,59,132.75
8477948,T. Sanheim,PHI,D,39028,25,2,15,5,50,19,46,4434,4654,-13,51.4,D,D,4.74,2.06,0,57,117.42
8476853,M. Rielly,TOR,D,33233,22,3,13,4,47,21,47,2733,1458,3,51.3,D,D,5.56,2.33,0,60,139.8
8476389,V. Trocheck,NYR,C,29183,24,6,16,7,56,37,20,4767,1886,2,50.8,C,F,6.27,2.12,0,58,122.96000000000001
8479542,B. Hagel,TBL,L,30125,27,10,13,4,64,13,16,2335,3335,0,50.7,W,F,6.06,1.88,0,55,103.39999999999999
8477409,C. Verhaeghe,FLA,C,26876,25,12,9,6,87,15,9,3778,22,5,50.7,C,F,6.79,2.03,0,57,115.71
8476881,T. Hertl,SJS,C,31409,25,7,14,6,57,24,23,4780,2256,-15,50.6,C,F,5.8,2.02,0,56,113.12
8476459,M. Zibanejad,NYR,C,28275,24,6,14,11,60,10,23,4753,3271,6,50.0,C,F,6.37,2.08,0,58,120.64
8475754,B. Nelson,NYI,C,25450,24,11,8,6,81,13,15,3811,280,-3,49.9,C,F,7.06,2.08,0,58,120.64
8479983,M. Ferraro,SJS,D,34628,26,0,4,0,46,27,77,166,5251,-19,49.8,D,D,5.18,1.92,0,56,107.52
8475913,M. Stone,VGK,R,30976,27,7,15,10,54,8,19,6787,2611,-5,49.7,W,F,5.78,1.84,0,55,101.2
8477493,A. Barkov,FLA,C,26406,22,8,16,6,63,22,12,4391,2713,18,49.5,C,F,6.75,2.25,0,57,128.25
8477501,V. Nichushkin,COL,R,29475,24,10,11,8,65,29,10,4745,2984,6,49.4,W,F,6.03,2.06,0,57,117.42
8475753,J. Faulk,STL,D,33842,25,0,12,1,48,34,57,2978,2566,2,49.2,D,D,5.23,1.97,0,57,112.28999999999999
8476539,J. Marchessault,VGK,R,28538,27,12,6,7,87,24,9,6674,9,0,49.1,W,F,6.19,1.82,0,55,100.10000000000001
8475726,T. Toffoli,NJD,R,24743,23,12,9,8,81,15,5,4598,12,-8,49.1,W,F,7.14,2.13,0,59,125.66999999999999
8480023,R. Thomas,STL,C,30583,25,8,17,5,51,5,15,4858,2798,6,48.6,C,F,5.72,1.94,0,57,110.58
8476892,C. Parayko,STL,D,35087,25,4,4,1,47,29,57,162,3985,-1,48.6,D,D,4.99,1.94,0,57,110.58
8478407,V. Dunn,SEA,D,36911,26,4,17,10,54,16,23,4874,238,-6,48.5,D,D,4.73,1.87,0,56,104.72
8482745,M. McTavish,ANA,C,23811,24,10,11,7,63,7,14,3675,102,-9,48.5,C,F,7.33,2.02,0,57,115.14
8477960,A. Kempe,LAK,R,24811,22,8,15,6,74,24,9,4654,2247,14,48.3,W,F,7.01,2.2,0,60,132.0
8478445,M. Barzal,NYI,C,26385,23,7,16,9,75,11,10,4003,46,-3,48.1,C,F,6.56,2.09,0,58,121.22
8482087,K. Guhle,MTL,D,26953,21,2,6,0,33,28,64,210,2977,5,48.1,D,D,6.42,2.29,0,57,130.53
