playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,36222,28,19,28,22,137,15,11,6992,22,-1,97.7,W,F,9.71,3.49,0,53,184.97
8476468,J. Miller,VAN,C,33826,28,15,25,18,67,59,26,6985,2851,11,89.6,C,F,9.54,3.2,0,54,172.8
8477492,N. MacKinnon,COL,C,38029,28,12,27,12,127,18,28,8137,78,6,85.5,C,F,8.09,3.05,0,54,164.7
8479318,A. Matthews,TOR,C,32236,25,19,9,10,109,33,33,5169,1674,0,82.7,C,F,9.24,3.31,0,57,188.67000000000002
8480069,C. Makar,COL,D,38098,26,8,28,17,69,13,43,6884,4654,13,82.2,D,D,7.77,3.16,0,54,170.64000000000001
8477933,S. Reinhart,FLA,C,33145,27,17,20,11,66,13,29,5753,3455,18,81.9,C,F,8.9,3.03,0,55,166.64999999999998
8477956,D. Pastrnak,BOS,R,30561,26,16,23,16,129,24,5,5796,128,8,80.8,W,F,9.52,3.11,0,56,174.16
8480865,N. Dobson,NYI,D,40885,27,5,22,11,67,20,67,4582,1781,13,79.7,D,D,7.02,2.95,0,55,162.25
8480012,E. Pettersson,VAN,C,33391,28,11,26,15,66,37,24,7288,3029,9,77.8,C,F,8.39,2.78,0,54,150.11999999999998
8478403,J. Eichel,VGK,C,35627,29,12,20,11,122,9,29,7633,3700,3,77.1,C,F,7.79,2.66,0,53,140.98000000000002
8478550,A. Panarin,NYR,L,30668,26,16,22,16,103,1,3,5287,4,-1,73.9,W,F,8.67,2.84,0,56,159.04
8480800,Q. Hughes,VAN,D,41638,28,9,27,15,78,11,21,7344,1646,20,71.9,D,D,6.22,2.57,0,54,138.78
8476887,F. Forsberg,NSH,L,32025,28,14,17,12,107,44,11,6547,24,-1,71.6,W,F,8.05,2.56,0,54,138.24
8480839,R. Dahlin,BUF,D,42278,28,7,16,7,75,55,50,5450,1242,-8,71.5,D,D,6.09,2.55,0,53,135.14999999999998
8478420,M. Rantanen,COL,R,37822,28,13,21,13,91,12,15,8502,35,1,71.3,W,F,6.79,2.55,0,54,137.7
8478402,C. McDavid,EDM,C,29777,23,10,26,15,66,36,15,4862,1041,2,71.2,C,F,8.61,3.1,0,57,176.70000000000002
8478366,F. Vatrano,ANA,R,29667,27,14,9,9,99,47,30,3639,3774,-5,71.10000000000001,W,F,8.63,2.63,0,55,144.65
8474600,R. Josi,NSH,D,41567,28,6,16,11,102,18,50,7391,1092,-3,70.5,D,D,6.11,2.52,0,54,136.08
