playerId,name,team,position,toi,gamesPlayed,saves,shots,shutout,fantasyPoints,missedGames,creaseShare,gamesRemaining,FPP60,FPPG,fantasyPointsRemain
8470594,M. Fleury,MIN,G,32280,9,217,248,0,-4.599999999999998,0,46.91,29,-0.51,-0.51,-15.16
8471734,J. Quick,NYR,G,27196,8,200,215,2,41.0,0,37.52,23,5.43,5.12,126.26
8473503,J. Reimer,DET,G,21912,6,155,169,1,16.000000000000004,0,30.41,18,2.63,2.67,49.56
8473575,S. Varlamov,NYI,G,25080,7,213,229,2,29.600000000000005,0,34.51,21,4.25,4.23,90.92
8474593,J. Markstrom,CGY,G,50341,14,372,413,0,14.400000000000007,0,63.1,37,1.03,1.03,38.99
8474596,J. Allen,MTL,G,30075,9,280,310,0,9.000000000000004,0,39.14,23,1.08,1.0,25.72
8475311,D. Kuemper,WSH,G,36661,10,252,282,0,8.400000000000002,0,56.1,35,0.82,0.84,29.62
8475660,C. Talbot,LAK,G,49933,14,376,404,1,63.2,0,72.5,45,4.56,4.51,208.11
8475683,S. Bobrovsky,FLA,G,60661,17,426,468,2,48.2,0,81.05,49,2.86,2.84,141.42
8475717,C. Pickard,EDM,G,6115,2,41,46,0,-1.7999999999999994,0,8.55,5,-1.06,-0.9,-5.62
8475789,J. Campbell,EDM,G,16007,5,137,157,0,-8.599999999999998,0,22.37,13,-1.93,-1.72,-26.83
8475809,S. Wedgewood,DAL,G,17900,5,163,178,0,18.6,0,26.18,16,3.74,3.72,61.69
8475831,P. Grubauer,SEA,G,38617,12,276,312,0,3.2000000000000037,0,47.78,28,0.3,0.27,8.55
8475839,L. Domingue,NYR,G,3600,1,25,26,0,7.0,0,4.97,3,7.0,7.0,21.56
8475852,P. Mrazek,CHI,G,35564,11,303,335,0,12.600000000000003,0,52.33,32,1.28,1.15,42.05
8475883,F. Andersen,CAR,G,18845,6,127,142,0,11.400000000000002,2,26.12,15,2.18,1.9,34.12
8476316,L. Brossoit,WPG,G,18173,5,107,122,0,0.40000000000000124,0,25.08,15,0.08,0.08,1.23
8476341,A. Forsberg,OTT,G,22557,7,125,147,0,-6.999999999999998,0,36.77,23,-1.12,-1.0,-26.7
8476412,J. Binnington,STL,G,49755,15,400,440,1,28.000000000000007,0,68.75,42,2.03,1.87,86.36
8476433,M. Hellberg,PIT,G,7193,3,59,64,0,5.800000000000001,0,10.04,6,2.9,1.93,18.06
8476434,J. Gibson,ANA,G,45566,14,347,381,0,17.400000000000006,0,60.89,37,1.37,1.24,51.06
8476883,A. Vasilevskiy,TBL,G,7112,2,41,46,0,2.2000000000000006,0,9.02,5,1.11,1.1,6.02
8476914,J. Korpisalo,OTT,G,38789,12,332,368,0,14.400000000000002,0,63.23,41,1.34,1.2,54.93
8476932,A. Stolarz,FLA,G,14183,4,100,109,0,14.000000000000002,0,18.95,11,3.55,3.5,41.08
8476945,C. Hellebuyck,WPG,G,54295,15,394,434,1,42.800000000000004,0,74.92,46,2.84,2.85,131.82
8476999,L. Ullmark,BOS,G,38210,11,311,339,0,35.2,0,50.26,30,3.32,3.2,101.68
8477035,M. Tomkins,TBL,G,10575,3,80,90,0,1.7763568394002505e-15,0,13.41,8,0.0,0.0,0.0
8477293,A. Raanta,CAR,G,31084,10,175,205,1,2.0000000000000018,0,43.08,26,0.23,0.2,6.19
8477361,C. Petersen,PHI,G,7200,2,60,67,0,2.0,0,9.53,5,1.0,1.0,5.81
8477424,J. Saros,NSH,G,54217,16,404,450,1,19.800000000000004,0,76.38,47,1.31,1.24,62.26
8477465,T. Jarry,PIT,G,50175,15,379,413,3,44.800000000000004,0,70.0,43,3.21,2.99,139.51
8477480,E. Comrie,BUF,G,13559,5,93,106,0,-3.3999999999999977,0,17.18,10,-0.9,-0.68,-9.31
