playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,40470,31,20,32,24,146,15,12,7416,24,-1,106.1,W,F,9.44,3.42,0,50,171.0
8479318,A. Matthews,TOR,C,35008,27,23,12,11,121,33,34,5580,1697,4,95.9,C,F,9.86,3.55,0,54,191.7
8476468,J. Miller,VAN,C,37062,31,15,28,20,71,64,27,7793,2987,12,95.0,C,F,9.23,3.06,0,51,156.06
8477492,N. MacKinnon,COL,C,40820,30,12,31,14,133,21,29,8708,87,6,91.9,C,F,8.1,3.06,0,52,159.12
8480865,N. Dobson,NYI,D,45996,30,5,27,13,72,21,73,5169,2116,17,89.3,D,D,6.99,2.98,0,52,154.96
8477956,D. Pastrnak,BOS,R,34133,29,17,24,18,147,27,5,6353,128,6,86.9,W,F,9.17,3.0,0,53,159.0
8477933,S. Reinhart,FLA,C,36597,30,17,21,11,72,15,31,6347,3661,16,84.7,C,F,8.33,2.82,0,52,146.64
8480069,C. Makar,COL,D,39139,27,8,29,17,71,13,44,6932,4764,13,83.9,D,D,7.72,3.11,0,52,161.72
8480012,E. Pettersson,VAN,C,36937,31,11,27,16,75,40,28,8145,3135,8,82.5,C,F,8.04,2.66,0,51,135.66
8478550,A. Panarin,NYR,L,34448,29,16,26,19,118,1,5,6275,4,-3,81.9,W,F,8.56,2.82,0,53,149.45999999999998
8476887,F. Forsberg,NSH,L,35090,31,16,20,14,117,47,13,7082,24,3,81.9,W,F,8.4,2.64,0,51,134.64000000000001
8478403,J. Eichel,VGK,C,38076,31,13,21,11,131,11,29,8178,3793,2,81.2,C,F,7.68,2.62,0,51,133.62
8480839,R. Dahlin,BUF,D,46585,31,7,18,7,86,66,60,5802,1494,-9,80.7,D,D,6.24,2.6,0,50,130.0
8477939,W. Nylander,TOR,R,34563,28,15,25,15,124,15,8,5783,996,5,80.4,W,F,8.37,2.87,0,54,154.98000000000002
8478402,C. McDavid,EDM,C,33567,26,11,30,17,81,39,15,5499,1054,0,80.0,C,F,8.58,3.08,0,54,166.32
8474600,R. Josi,NSH,D,45791,31,7,20,13,108,19,53,7960,1206,1,79.7,D,D,6.27,2.57,0,51,131.07
8477346,M. Weegar,CGY,D,41384,31,8,11,5,77,54,74,2559,3751,3,79.6,D,D,6.92,2.57,0,51,131.07
8478444,B. Boeser,VAN,R,34962,31,22,14,12,85,15,10,8015,34,10,79.0,W,F,8.13,2.55,0,51,130.04999999999998
8480803,E. Bouchard,EDM,D,37541,28,8,24,16,87,20,40,6023,469,-6,78.7,D,D,7.55,2.81,0,54,151.74
8478420,M. Rantanen,COL,R,40601,30,14,24,15,97,17,15,9075,42,3,78.4,W,F,6.95,2.61,0,52,135.72
8480800,Q. Hughes,VAN,D,45889,31,9,30,16,84,12,25,8229,1776,24,78.1,D,D,6.13,2.52,0,51,128.52
8481559,J. Hughes,NJD,C,28599,23,14,23,16,111,5,11,4708,78,2,76.1,C,F,9.58,3.31,0,54,178.74
8481542,M. Seider,DET,D,39859,30,5,13,11,61,58,69,5403,5532,0,74.89999999999999,D,D,6.76,2.5,0,52,130.0
8476885,J. Trouba,NYR,D,38943,29,2,11,1,52,64,94,330,5957,5,74.1,D,D,6.85,2.56,0,53,135.68
8478010,B. Point,TBL,C,39127,32,14,20,13,87,7,19,7006,55,-10,73.4,C,F,6.75,2.29,0,50,114.5
8475786,Z. Hyman,EDM,L,31514,27,18,12,8,100,24,16,5482,228,6,72.4,W,F,8.27,2.68,0,54,144.72
8478366,F. Vatrano,ANA,R,31563,29,14,9,9,102,47,32,3872,4059,-8,72.4,W,F,8.26,2.5,0,53,132.5
8478483,M. Marner,TOR,R,35851,28,13,21,10,63,19,23,5780,3830,7,71.7,W,F,7.2,2.56,0,54,138.24
8471675,S. Crosby,PIT,C,34352,29,17,14,6,110,28,13,5882,231,9,71.3,C,F,7.47,2.46,0,53,130.38
8479407,J. Bratt,NJD,L,32107,28,12,24,17,74,22,9,5454,1312,1,70.6,W,F,7.92,2.52,0,54,136.08
8474564,S. Stamkos,TBL,C,32099,29,15,16,17,94,20,9,6498,72,-14,70.39999999999999,C,F,7.9,2.43,0,50,121.50000000000001
8476853,M. Rielly,TOR,D,41660,28,4,17,6,69,24,62,3851,1764,5,68.3,D,D,5.9,2.44,0,54,131.76
8476875,M. Matheson,MTL,D,45493,30,5,15,12,74,16,56,7325,4893,-10,68.0,D,D,5.38,2.27,0,52,118.04
8475188,B. McNabb,VGK,D,37311,31,2,9,1,32,37,95,35,5962,9,67.9,D,D,6.55,2.19,0,51,111.69
8478013,J. Walman,DET,D,33418,28,6,7,5,51,10,79,2369,4549,6,67.1,D,D,7.23,2.4,0,52,124.8
8477934,L. Draisaitl,EDM,C,35626,28,12,21,17,82,12,8,5973,1595,-7,66.9,C,F,6.76,2.39,0,54,129.06
8475754,B. Nelson,NYI,C,31771,30,15,12,10,100,13,17,4838,343,-2,66.8,C,F,7.57,2.23,0,52,115.96
8470794,J. Pavelski,DAL,C,28282,29,13,14,9,68,25,26,4513,71,-6,66.8,C,F,8.5,2.3,0,53,121.89999999999999
8477500,B. Horvat,NYI,C,33917,29,12,18,10,90,22,17,4579,1086,4,66.7,C,F,7.08,2.3,0,52,119.6
8478493,J. Eriksson Ek,MIN,C,34049,28,14,7,7,106,51,25,6238,3906,7,66.7,C,F,7.05,2.38,0,54,128.51999999999998
8479410,M. Sergachev,TBL,D,45121,32,2,17,7,52,30,68,3437,4722,-15,66.7,D,D,5.32,2.08,0,50,104.0
8476460,M. Scheifele,WPG,C,36519,29,11,22,9,72,15,17,6252,91,10,65.7,C,F,6.48,2.27,0,53,120.31
8478445,M. Barzal,NYI,C,33401,29,10,22,12,91,13,14,5111,46,1,65.4,C,F,7.05,2.26,0,52,117.51999999999998
8477504,J. Morrissey,WPG,D,42626,29,5,21,8,74,20,42,6532,256,16,65.4,D,D,5.52,2.26,0,53,119.77999999999999
8478397,R. Andersson,CGY,D,39425,27,4,13,4,59,14,70,3961,3052,0,65.3,D,D,5.96,2.42,0,51,123.42
8478398,K. Connor,WPG,L,31483,26,17,11,10,102,3,9,5607,181,-4,65.0,W,F,7.43,2.5,18,35,87.5
8476432,B. Jenner,CBJ,C,33573,29,13,5,4,81,44,39,5306,2231,-5,65.0,C,F,6.97,2.24,12,38,85.12
8475158,R. O'Reilly,NSH,C,37123,31,13,13,12,71,12,23,6710,3743,0,64.8,C,F,6.28,2.09,0,51,106.58999999999999
8473419,B. Marchand,BOS,L,34175,29,12,14,13,96,27,16,6126,3454,0,64.8,W,F,6.83,2.23,0,53,118.19
8477404,J. Guentzel,PIT,L,35764,29,13,19,5,99,19,11,6085,154,7,64.8,W,F,6.52,2.23,0,53,118.19
8476389,V. Trocheck,NYR,C,36111,29,8,19,10,72,41,25,6300,2383,-3,63.8,C,F,6.36,2.2,0,53,116.60000000000001
8477493,A. Barkov,FLA,C,32068,27,11,18,7,85,24,18,5244,3087,19,63.4,C,F,7.12,2.35,0,52,122.2
8480009,E. Tolvanen,SEA,R,31018,32,8,12,5,66,62,40,4970,106,1,63.3,W,F,7.35,1.98,0,50,99.0
8475169,E. Kane,EDM,L,30308,28,12,10,5,88,107,14,2835,1201,-7,63.0,W,F,7.48,2.25,0,54,121.5
8475166,J. Tavares,TOR,C,31515,28,9,20,8,105,34,14,5566,25,8,62.9,C,F,7.19,2.25,0,54,121.5
8476448,W. Karlsson,VGK,C,32849,31,13,15,9,75,8,18,5215,4118,9,62.800000000000004,C,F,6.88,2.03,0,51,103.52999999999999
8475913,M. Stone,VGK,R,35723,31,10,19,13,62,11,20,7687,3055,-4,62.8,W,F,6.33,2.03,0,51,103.52999999999999
8476459,M. Zibanejad,NYR,C,33654,29,9,17,15,72,11,24,6189,3760,4,62.8,C,F,6.72,2.17,0,53,115.00999999999999
8475167,V. Hedman,TBL,D,42623,30,5,23,12,59,12,33,6006,3825,-7,62.6,D,D,5.29,2.09,0,50,104.5
8477409,C. Verhaeghe,FLA,C,32011,30,15,11,6,107,18,11,4574,22,6,62.0,C,F,6.97,2.07,0,52,107.63999999999999
8477498,D. Nurse,EDM,D,38026,28,5,5,3,70,54,66,2006,4939,1,61.9,D,D,5.86,2.21,0,54,119.34
8480023,R. Thomas,STL,C,37203,30,12,20,5,68,5,16,5805,3396,11,61.800000000000004,C,F,5.98,2.06,0,52,107.12
8477948,T. Sanheim,PHI,D,44351,29,4,17,5,57,24,52,4506,5392,-9,61.6,D,D,5.0,2.12,1,51,108.12
8471685,A. Kopitar,LAK,C,31514,27,12,15,10,55,9,22,5799,2970,11,61.4,C,F,7.01,2.27,0,55,124.85
8478439,T. Konecny,PHI,R,34151,30,16,9,6,97,14,11,5577,3187,11,60.6,W,F,6.39,2.02,0,52,105.04
8479343,C. Keller,ARI,R,35225,30,10,16,14,91,9,15,6651,48,-13,60.5,W,F,6.18,2.02,0,52,105.04
8477501,V. Nichushkin,COL,R,35334,28,12,14,9,84,35,12,5885,3216,6,60.4,W,F,6.15,2.16,0,52,112.32000000000001
8478500,I. Provorov,CBJ,D,44242,32,2,15,5,41,23,65,3759,5897,-9,60.4,D,D,4.91,1.89,0,50,94.5
8475184,C. Kreider,NYR,L,32165,29,16,8,12,80,24,8,6329,2975,4,60.4,W,F,6.76,2.08,0,53,110.24000000000001
8474565,A. Pietrangelo,VGK,D,37670,26,1,13,6,61,12,70,4096,5139,1,60.3,D,D,5.76,2.32,0,51,118.32
8476892,C. Parayko,STL,D,42168,30,5,5,1,59,36,70,183,4823,-2,60.0,D,D,5.12,2.0,0,52,104.0
8480036,M. Heiskanen,DAL,D,44015,29,4,17,9,58,22,45,5448,2024,-5,60.0,D,D,4.91,2.07,0,53,109.71
8480801,B. Tkachuk,OTT,L,28795,25,13,7,7,115,69,9,5669,97,-1,59.4,W,F,7.43,2.38,0,57,135.66
8476881,T. Hertl,SJS,C,37025,29,9,15,7,73,24,26,5433,3087,-14,59.2,C,F,5.76,2.04,0,52,106.08
8479337,A. DeBrincat,DET,R,32797,30,13,13,9,97,15,9,6884,83,-2,59.2,W,F,6.5,1.97,0,52,102.44
8476539,J. Marchessault,VGK,R,32559,31,14,9,9,99,27,9,7610,9,0,58.6,W,F,6.48,1.89,0,51,96.39
8479542,B. Hagel,TBL,L,36094,32,10,17,4,76,14,21,2864,4035,-3,58.5,W,F,5.83,1.83,0,50,91.5
8478460,Z. Werenski,CBJ,D,43914,30,1,22,4,75,7,48,5339,2753,-3,58.2,D,D,4.77,1.94,0,50,97.0
8479983,M. Ferraro,SJS,D,40558,30,1,4,0,51,34,87,175,6402,-16,58.0,D,D,5.15,1.93,0,52,100.36
8479425,F. Hronek,VAN,D,44981,31,2,25,8,60,23,33,3663,4040,20,57.8,D,D,4.63,1.86,0,51,94.86
8477960,A. Kempe,LAK,R,30072,27,9,18,9,87,28,10,5628,2636,12,57.0,W,F,6.82,2.11,0,55,116.05
8478474,L. Crouse,ARI,L,29601,29,13,6,5,67,58,20,3407,3418,3,57.0,W,F,6.93,1.97,0,52,102.44
8475692,M. Zuccarello,MIN,R,30580,28,6,22,13,74,6,17,6188,94,-3,57.0,W,F,6.71,2.04,0,54,110.16
8475753,J. Faulk,STL,D,40403,30,0,14,1,70,39,63,3295,3229,4,56.9,D,D,5.07,1.9,0,52,98.8
8478407,V. Dunn,SEA,D,45438,32,4,21,11,65,19,28,5953,297,-10,56.9,D,D,4.51,1.78,0,50,89.0
