playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8482109,A. Lafrenière,NYR,L,20076,20,8,4,2,43,10,2,1581,34,-2,27.3,W,F,4.9,1.36,0,62,84.32000000000001
8474602,J. Schultz,SEA,D,21554,22,2,6,3,28,3,25,2889,27,-5,27.1,D,D,4.53,1.23,0,60,73.8
8476458,R. Strome,ANA,C,20232,20,2,13,2,37,14,8,3224,225,2,27.1,C,F,4.82,1.36,0,61,82.96000000000001
8475191,R. Smith,PIT,R,19606,20,6,6,4,41,8,4,2289,876,1,26.9,W,F,4.94,1.34,0,62,83.08
8484166,A. Fantilli,CBJ,C,21637,23,4,6,2,61,17,8,3744,15,-9,26.8,C,F,4.46,1.17,0,59,69.03
8478043,S. Lafferty,VAN,C,17131,22,5,5,1,26,27,12,208,1272,11,26.8,C,F,5.63,1.22,0,60,73.2
8480192,J. Kovacevic,MTL,D,23413,21,3,0,0,15,16,35,95,3945,2,26.6,D,D,4.09,1.27,0,61,77.47
8474150,M. Backlund,CGY,C,25429,22,4,6,1,56,15,10,2343,3292,6,26.6,C,F,3.77,1.21,0,60,72.6
8483505,M. Poitras,BOS,C,18371,21,5,5,1,32,8,14,1438,35,3,26.5,C,F,5.19,1.26,0,61,76.86
8481711,M. Maccelli,ARI,L,18679,20,3,13,4,30,5,4,2403,75,6,26.5,W,F,5.11,1.32,0,62,81.84
8478466,D. Sprong,DET,R,16144,20,5,8,2,54,6,3,2300,0,7,26.5,W,F,5.91,1.32,0,62,81.84
8479323,A. Fox,NYR,D,12639,10,3,8,9,15,4,12,2138,839,1,26.400000000000002,D,D,7.52,2.64,0,62,163.68
8478233,A. Mangiapane,CGY,L,19874,21,5,8,1,33,26,4,2127,1065,1,26.400000000000002,W,F,4.78,1.26,0,60,75.6
8480064,J. Norris,OTT,C,15303,14,5,5,6,35,13,7,3430,35,-5,26.3,C,F,6.19,1.88,0,65,122.19999999999999
8480035,H. Jokiharju,BUF,D,18546,19,2,6,0,19,13,26,188,890,4,26.2,D,D,5.09,1.38,0,60,82.8
8479365,T. Frederic,BOS,C,16169,21,5,4,0,27,33,12,183,436,5,26.0,C,F,5.79,1.24,0,61,75.64
8479336,C. Grundstrom,LAK,R,12502,19,7,1,2,33,40,5,135,711,7,25.8,W,F,7.43,1.36,0,63,85.68
8479371,D. Fabbro,NSH,D,17466,16,2,3,0,19,14,31,86,1709,4,25.8,D,D,5.32,1.61,0,62,99.82000000000001
8478438,T. Novak,NSH,C,13464,14,6,6,6,26,1,4,2640,28,0,25.7,C,F,6.87,1.84,8,54,99.36
8478519,A. Cirelli,TBL,C,22381,21,3,6,1,32,10,18,1441,2974,-3,25.7,C,F,4.13,1.22,0,60,73.2
8476872,S. Laughton,PHI,C,18813,21,1,9,1,49,27,13,1415,1944,3,25.6,C,F,4.9,1.22,0,61,74.42
8480884,C. Addison,SJS,D,23721,22,0,9,6,30,6,20,4711,8,-8,25.6,D,D,3.89,1.16,0,60,69.6
8478882,V. Gavrikov,LAK,D,23375,19,2,4,0,21,10,29,361,3060,6,25.6,D,D,3.94,1.35,0,63,85.05000000000001
8481581,T. Harley,DAL,D,16876,16,3,2,0,21,5,30,202,335,2,25.6,D,D,5.46,1.6,0,63,100.80000000000001
8482667,W. Eklund,SJS,L,23847,22,4,4,4,30,6,16,3612,613,-9,25.6,W,F,3.86,1.16,0,60,69.6
8482146,L. Evangelista,NSH,R,16624,19,3,9,3,37,3,10,3478,1,1,25.5,W,F,5.52,1.34,0,62,83.08
8482684,L. Hughes,NJD,D,22241,19,2,10,6,29,5,10,3367,20,-2,25.4,D,D,4.11,1.34,0,63,84.42
8473507,J. Petry,DET,D,15803,14,0,6,0,18,20,31,825,1245,0,25.3,D,D,5.76,1.81,0,62,112.22
8478569,N. Acciari,PIT,C,14636,20,2,1,0,24,44,27,69,2921,2,25.3,C,F,6.22,1.27,0,62,78.74
8475179,D. Kulikov,FLA,D,21963,20,0,7,1,21,27,26,65,2332,4,25.3,D,D,4.15,1.27,0,61,77.47
8478507,J. Marino,NJD,D,23582,19,1,9,0,11,7,25,191,3838,-1,25.3,D,D,3.86,1.33,0,63,83.79
8473422,N. Foligno,CHI,L,19922,19,2,7,2,39,43,10,2669,2339,1,25.2,W,F,4.55,1.33,0,63,83.79
8478468,J. Lauzon,NSH,D,20342,20,1,2,0,25,52,27,115,2798,1,25.2,D,D,4.46,1.26,0,62,78.12
8477940,N. Ehlers,WPG,L,18082,20,6,5,2,51,5,3,2912,0,1,25.1,W,F,5.0,1.26,0,62,78.12
8482079,M. Rossi,MIN,C,18493,19,6,5,0,37,3,8,2558,422,2,25.0,C,F,4.87,1.32,0,63,83.16000000000001
8474612,T. Hamonic,OTT,D,16225,17,1,2,0,19,20,34,61,2558,3,24.9,D,D,5.52,1.46,0,65,94.89999999999999
8479619,M. Carcone,ARI,L,12131,19,7,3,1,27,12,7,750,132,0,24.9,W,F,7.39,1.31,0,62,81.22
8479591,M. Eyssimont,TBL,C,14701,21,4,4,1,46,32,9,616,39,4,24.8,C,F,6.07,1.18,0,60,70.8
8476292,O. Palat,NJD,L,17780,19,2,8,5,32,21,10,2122,847,-4,24.8,W,F,5.02,1.31,0,63,82.53
