playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,31088,24,15,25,20,117,13,9,5895,10,-3,82.5,W,F,9.55,3.44,0,57,196.07999999999998
8476468,J. Miller,VAN,C,30022,25,13,23,17,56,52,19,6256,2712,11,77.8,C,F,9.33,3.11,0,57,177.26999999999998
8480069,C. Makar,COL,D,33757,23,7,27,16,57,12,40,6191,4376,18,75.9,D,D,8.09,3.3,0,59,194.7
8477956,D. Pastrnak,BOS,R,26861,23,14,22,15,112,24,4,5135,115,9,73.1,W,F,9.8,3.18,0,59,187.62
8479318,A. Matthews,TOR,C,28457,22,16,9,8,93,31,28,4624,1593,0,71.4,C,F,9.03,3.25,0,60,195.0
8477933,S. Reinhart,FLA,C,29735,24,16,13,10,60,12,28,5322,3072,12,71.2,C,F,8.62,2.97,0,58,172.26000000000002
8480865,N. Dobson,NYI,D,34704,23,5,16,10,55,17,61,3969,1576,8,68.7,D,D,7.13,2.99,0,59,176.41000000000003
8480800,Q. Hughes,VAN,D,37174,25,9,25,15,73,11,19,6640,1618,18,68.4,D,D,6.62,2.74,0,57,156.18
8477492,N. MacKinnon,COL,C,30923,23,8,22,11,109,14,23,6716,78,8,67.3,C,F,7.83,2.93,0,59,172.87
8480012,E. Pettersson,VAN,C,29780,25,10,22,14,57,32,18,6575,2872,6,66.9,C,F,8.09,2.68,0,57,152.76000000000002
8478366,F. Vatrano,ANA,R,26454,24,14,9,9,88,44,23,3300,3319,-3,66.2,W,F,9.01,2.76,0,58,160.07999999999998
8478403,J. Eichel,VGK,C,30397,25,10,17,9,103,8,25,6499,3233,4,65.1,C,F,7.71,2.6,0,57,148.20000000000002
8478010,B. Point,TBL,C,30512,25,12,18,13,71,5,13,5740,30,-7,62.6,C,F,7.39,2.5,0,57,142.5
8477939,W. Nylander,TOR,R,27297,22,12,17,12,99,15,8,4582,928,1,62.4,W,F,8.23,2.84,0,60,170.39999999999998
8478420,M. Rantanen,COL,R,30614,23,12,18,12,71,11,12,6997,35,9,62.2,W,F,7.31,2.7,0,59,159.3
8478444,B. Boeser,VAN,R,28139,25,17,11,10,67,15,8,6489,27,9,62.2,W,F,7.96,2.49,0,57,141.93
8480839,R. Dahlin,BUF,D,35933,24,5,15,6,59,44,46,4735,976,-5,61.3,D,D,6.14,2.55,0,58,147.89999999999998
8476875,M. Matheson,MTL,D,35808,24,5,13,10,59,14,52,5970,4180,-9,61.3,D,D,6.16,2.55,0,58,147.89999999999998
8476887,F. Forsberg,NSH,L,26945,23,12,15,9,95,38,8,5940,24,1,60.8,W,F,8.12,2.64,0,59,155.76000000000002
8476885,J. Trouba,NYR,D,30168,22,2,8,1,42,50,78,256,4746,9,60.7,D,D,7.24,2.76,0,60,165.6
8481542,M. Seider,DET,D,31134,23,3,13,10,42,46,54,4479,4214,4,59.8,D,D,6.91,2.6,0,59,153.4
8478550,A. Panarin,NYR,L,25697,22,12,19,13,85,1,3,4164,4,2,59.6,W,F,8.35,2.71,0,60,162.6
8478402,C. McDavid,EDM,C,26057,20,8,21,14,57,27,13,4333,979,-4,58.9,C,F,8.14,2.94,0,60,176.4
8477346,M. Weegar,CGY,D,31477,24,6,7,4,62,36,54,1836,2903,-1,57.8,D,D,6.61,2.41,0,58,139.78
8476432,B. Jenner,CBJ,C,29466,25,12,5,4,70,37,32,4869,1797,0,57.7,C,F,7.05,2.31,0,57,131.67000000000002
8481559,J. Hughes,NJD,C,21649,17,9,21,14,82,4,6,3676,64,0,57.6,C,F,9.58,3.39,0,60,203.4
8477934,L. Draisaitl,EDM,C,28609,22,10,19,14,68,12,5,4847,1364,-2,56.5,C,F,7.11,2.57,0,60,154.2
