playerId,name,team,position,toi,gamesPlayed,saves,shots,shutout,fantasyPoints,missedGames,creaseShare,gamesRemaining,FPP60,FPPG,fantasyPointsRemain
8470594,M. Fleury,MIN,G,39348,11,281,317,0,2.200000000000003,0,37.47,19,0.2,0.2,4.0
8471734,J. Quick,NYR,G,37948,11,277,299,2,54.4,0,36.23,19,5.16,4.95,99.09
8473503,J. Reimer,DET,G,28962,9,207,228,1,12.400000000000006,0,26.07,13,1.54,1.38,20.49
8473575,S. Varlamov,NYI,G,39554,11,341,371,2,39.2,0,36.17,18,3.57,3.56,67.11
8474593,J. Markstrom,CGY,G,61055,17,436,484,0,21.20000000000001,0,52.71,26,1.25,1.25,32.94
8474596,J. Allen,MTL,G,40905,12,368,407,0,13.600000000000003,0,36.07,18,1.2,1.13,22.02
8474889,M. Jones,TOR,G,7763,3,75,79,1,22.000000000000004,0,7.57,4,10.2,7.33,41.69
8475311,D. Kuemper,WSH,G,52156,15,374,417,0,18.800000000000004,0,51.13,27,1.3,1.25,35.83
8475660,C. Talbot,LAK,G,71457,20,501,541,2,80.2,0,73.19,40,4.04,4.01,162.64
8475683,S. Bobrovsky,FLA,G,80836,23,572,628,2,65.4,0,73.09,37,2.91,2.84,108.57
8475717,C. Pickard,EDM,G,13235,4,100,111,0,2.0000000000000018,0,13.19,7,0.54,0.5,3.88
8475789,J. Campbell,EDM,G,16007,5,137,157,0,-8.599999999999998,0,15.96,8,-1.93,-1.72,-16.67
8475809,S. Wedgewood,DAL,G,35880,10,308,340,0,27.6,0,33.13,17,2.77,2.76,47.71
8475831,P. Grubauer,SEA,G,55322,17,382,432,0,-2.599999999999995,1,45.88,22,-0.17,-0.15,-3.73
8475839,L. Domingue,NYR,G,3600,1,25,26,0,7.0,0,3.44,1,7.0,7.0,12.75
8475852,P. Mrazek,CHI,G,61591,19,517,570,1,28.400000000000006,0,57.29,29,1.66,1.49,49.46
8475883,F. Andersen,CAR,G,18845,6,127,142,0,11.400000000000002,12,16.86,6,2.18,1.9,14.32
8476316,L. Brossoit,WPG,G,25251,7,179,197,0,12.800000000000002,0,23.33,12,1.82,1.83,22.14
8476341,A. Forsberg,OTT,G,36773,11,234,267,1,3.8000000000000034,0,39.4,22,0.37,0.35,8.21
8476412,J. Binnington,STL,G,77971,23,651,717,1,42.20000000000001,0,72.67,37,1.95,1.83,73.63
8476433,M. Hellberg,PIT,G,7193,3,59,64,0,5.800000000000001,0,6.65,3,2.9,1.93,10.04
8476434,J. Gibson,ANA,G,69569,21,529,584,0,19.800000000000008,0,62.84,32,1.02,0.94,32.84
8476883,A. Vasilevskiy,TBL,G,34549,10,253,282,1,15.600000000000005,0,30.16,15,1.63,1.56,24.51
8476914,J. Korpisalo,OTT,G,56559,17,456,511,0,5.200000000000004,0,60.6,33,0.33,0.31,11.23
8476932,A. Stolarz,FLA,G,29756,9,194,212,0,19.800000000000004,0,26.91,13,2.4,2.2,32.87
8476945,C. Hellebuyck,WPG,G,82985,23,610,666,1,75.00000000000001,0,76.67,39,3.25,3.26,129.72
8476999,L. Ullmark,BOS,G,52983,15,443,484,0,47.6,0,50.24,26,3.23,3.17,86.12
8477035,M. Tomkins,TBL,G,10575,3,80,90,0,1.7763568394002505e-15,0,9.23,4,0.0,0.0,0.0
8477293,A. Raanta,CAR,G,44928,14,264,309,1,-9.199999999999998,0,40.19,20,-0.74,-0.66,-15.11
8477361,C. Petersen,PHI,G,7200,2,60,67,0,2.0,0,6.62,3,1.0,1.0,3.44
8477424,J. Saros,NSH,G,80939,24,629,690,1,62.800000000000004,0,73.18,37,2.79,2.62,104.24
8477465,T. Jarry,PIT,G,73102,22,554,607,3,51.800000000000004,0,67.59,35,2.55,2.35,89.66
8477480,E. Comrie,BUF,G,20642,7,144,167,0,-13.199999999999996,0,18.03,9,-2.3,-1.89,-20.75
8477484,S. Martin,CBJ,G,36257,11,296,332,0,-3.799999999999997,0,31.63,15,-0.38,-0.35,-5.97
8477831,P. Copley,LAK,G,26177,8,154,177,1,5.800000000000001,9,26.81,12,0.8,0.73,9.84
8477967,T. Demko,VAN,G,81696,23,621,674,3,91.2,0,71.03,35,4.02,3.97,142.73
8477968,A. Nedeljkovic,PIT,G,27859,8,245,265,1,29.000000000000004,0,25.76,13,3.75,3.63,50.2
8477970,V. Vanecek,NJD,G,58419,18,409,463,0,17.800000000000008,0,56.48,29,1.1,0.99,32.84
