"id,fullName"
"5495,Cam Fowler"
"5502,Radko Gudas"
"5503,Erik Gudbranson"
"5509,Zach Hyman"
"5511,Nino Niederreiter"
"5517,Kyle Palmieri"
"5524,Calvin Pickard"
"5525,Brandon  Pirri"
"5526,Tyler Pitlick"
"5536,Harri Sateri"
"5540,Jeff Skinner"
"5545,Mark Stone"
"5549,Jarred Tinordi"
"5550,Tyler Toffoli"
"5556,Austin Watson"
"5560,Mats Zuccarello"
"5571,Sergei Bobrovsky"
"5572,Alexander Burmistrov"
"5588,Eddie Lack"
"5592,Chris Tanev"
"5614,Brendan Gallagher"
"5619,Petr Mrazek"
"5622,Scott Wedgewood"
"5627,Brian Lashoff"
"5646,Dmitry Orlov"
"5647,Evgeny Kuznetsov"
"5657,Philipp Grubauer"
"5659,Andrew Crescenzi"
"5662,Mike Liambas"
"5665,Patrick Wiercioch"
"5672,Matt Bartkowski"
"5677,Matt Irwin"
"5706,Tyler Johnson"
"5714,Marcus Johansson"
"5731,Derek Stepan"
"5734,Cam Talbot"
"5738,Brian Dumoulin"
"5746,Justin Faulk"
"5756,Joakim Nordstrom"
"5763,Justin Holl"
"5767,Kevin Hayes"
"5793,Anders Lee"
"5797,Aaron Ness"
"5798,Brock Nelson"
"5823,Gustav Nyquist"
"5824,Mark Pysyk"
"5828,Nick Bjugstad"
"5829,Derek Forbort"
"5830,Jake Gardiner"
"5831,Mikael Granlund"
"5833,Chris Kreider"
"5834,Dylan McIlrath"
"5835,Jaden Schwartz"
"5836,Riley Sheahan"
"5837,Vladimir Tarasenko"
"2300267,Carl Hagelin"
"2304485,Ben Street"
"2304504,Brian Gibbons"
"2304599,Taylor Fedun"
"2324167,Teemu Pulkkinen"
"2334821,Brad Hunt"
"2334909,Cameron  Schilling"
"2334912,Chris Wideman"
"2334926,Zac Dalpe"
"2335062,Luke Glendening"
"2486598,Brandon Manning"
"2486993,Darren Archibald"
"2500990,Reilly Smith"
"2501067,Justin Schultz"
"2501107,Cam Atkinson"
"2501172,Carter Rowney"
"2501176,Aaron Dell"
"2517760,Michael Sgarbossa"
"2517899,Frederik Andersen"
"2517906,Mark Alt"
"2524606,Antoine Roussel"
"2525884,Derek Grant"
"2554903,Brenden Dillon"
"2555315,Charlie Coyle"
"2555316,Calle Jarnkrok"
