playerId,name,team,position,toi,gamesPlayed,saves,shots,shutout,fantasyPoints,missedGames,creaseShare,gamesRemaining,FPP60,FPPG,fantasyPointsRemain
8470594,M. Fleury,MIN,G,35855,10,245,277,0,3.0000000000000027,0,43.11,25,0.3,0.3,7.66
8471734,J. Quick,NYR,G,30796,9,223,243,2,39.6,0,35.49,20,4.63,4.4,95.28
8473503,J. Reimer,DET,G,21912,6,155,169,1,16.000000000000004,0,25.36,14,2.63,2.67,38.66
8473575,S. Varlamov,NYI,G,28846,8,252,272,2,33.400000000000006,0,32.97,19,4.17,4.18,79.72
8474593,J. Markstrom,CGY,G,57455,16,403,450,0,12.600000000000009,0,63.49,36,0.79,0.79,28.57
8474596,J. Allen,MTL,G,33724,10,308,343,0,5.600000000000003,0,36.94,21,0.6,0.56,12.59
8475311,D. Kuemper,WSH,G,44656,13,314,354,0,4.8000000000000025,0,56.04,33,0.39,0.37,13.01
8475660,C. Talbot,LAK,G,56970,16,409,440,1,67.80000000000001,0,71.62,42,4.28,4.24,184.1
8475683,S. Bobrovsky,FLA,G,67861,19,476,523,2,56.2,0,75.93,43,2.98,2.96,129.03
8475717,C. Pickard,EDM,G,6115,2,41,46,0,-1.7999999999999994,0,7.4,4,-1.06,-0.9,-4.63
8475789,J. Campbell,EDM,G,16007,5,137,157,0,-8.599999999999998,0,19.37,11,-1.93,-1.72,-22.1
8475809,S. Wedgewood,DAL,G,21561,6,195,214,0,18.0,0,24.98,14,3.01,3.0,43.55
8475831,P. Grubauer,SEA,G,49476,15,346,392,0,-1.7999999999999954,0,52.02,29,-0.13,-0.12,-3.82
8475839,L. Domingue,NYR,G,3600,1,25,26,0,7.0,0,4.15,2,7.0,7.0,16.84
8475852,P. Mrazek,CHI,G,46326,14,390,434,0,10.000000000000004,0,53.8,31,0.78,0.71,24.25
8475883,F. Andersen,CAR,G,18845,6,127,142,0,11.400000000000002,11,20.92,9,2.18,1.9,20.95
8476316,L. Brossoit,WPG,G,21773,6,149,165,0,10.8,0,25.11,14,1.79,1.8,26.0
8476341,A. Forsberg,OTT,G,29738,9,197,221,1,14.400000000000002,0,41.3,25,1.74,1.6,44.64
8476412,J. Binnington,STL,G,63818,19,552,605,1,40.400000000000006,0,71.01,40,2.28,2.13,92.25
8476433,M. Hellberg,PIT,G,7193,3,59,64,0,5.800000000000001,0,7.99,4,2.9,1.93,13.22
8476434,J. Gibson,ANA,G,60068,18,453,500,0,16.60000000000001,0,67.24,38,0.99,0.92,38.13
8476883,A. Vasilevskiy,TBL,G,20240,6,134,149,1,11.800000000000002,0,20.92,11,2.1,1.97,24.15
8476914,J. Korpisalo,OTT,G,42260,13,351,391,0,10.200000000000003,0,58.7,36,0.87,0.78,31.62
8476932,A. Stolarz,FLA,G,21515,6,154,168,0,15.800000000000002,0,24.07,13,2.64,2.63,36.28
8476945,C. Hellebuyck,WPG,G,64950,18,469,514,1,51.800000000000004,0,74.89,43,2.87,2.88,124.72
8476999,L. Ullmark,BOS,G,42102,12,348,379,0,40.6,0,48.34,28,3.47,3.38,97.34
8477035,M. Tomkins,TBL,G,10575,3,80,90,0,1.7763568394002505e-15,0,10.93,6,0.0,0.0,0.0
8477293,A. Raanta,CAR,G,37812,12,220,255,1,1.0000000000000018,0,41.97,23,0.1,0.08,2.28
8477361,C. Petersen,PHI,G,7200,2,60,67,0,2.0,0,7.97,4,1.0,1.0,4.54
8477424,J. Saros,NSH,G,66531,20,503,559,1,31.60000000000001,0,74.7,42,1.71,1.58,72.8
8477465,T. Jarry,PIT,G,64690,19,495,540,3,52.00000000000001,0,71.86,40,2.89,2.74,118.53
8477480,E. Comrie,BUF,G,20642,7,144,167,0,-13.199999999999996,0,22.25,12,-2.3,-1.89,-28.68
8477484,S. Martin,CBJ,G,32657,10,267,296,0,4.400000000000002,0,33.8,18,0.49,0.44,9.02
8477831,P. Copley,LAK,G,22577,7,131,150,1,9.2,0,28.38,17,1.47,1.31,24.98
8477967,T. Demko,VAN,G,67310,19,511,557,2,64.2,0,72.25,40,3.43,3.38,138.92
8477968,A. Nedeljkovic,PIT,G,18138,5,164,175,1,22.800000000000004,0,20.15,11,4.53,4.56,51.97
8477970,V. Vanecek,NJD,G,51060,16,363,414,0,6.600000000000006,0,62.36,36,0.47,0.41,17.12
8477992,J. Johansson,TBL,G,65935,19,522,585,2,21.400000000000013,0,68.15,37,1.17,1.13,43.8
8478007,E. Merzlikins,CBJ,G,63965,19,554,609,0,28.800000000000008,0,66.2,36,1.62,1.52,59.02
8478009,I. Sorokin,NYI,G,58638,16,533,585,2,38.6,0,67.03,38,2.37,2.41,92.13
8478024,V. Husso,DET,G,46616,13,366,411,0,16.200000000000003,0,53.95,31,1.25,1.25,39.15
8478039,K. Kahkonen,SJS,G,33608,11,320,357,0,6.000000000000002,0,35.93,20,0.64,0.55,12.93
8478048,I. Shesterkin,NYR,G,52389,15,411,451,0,42.2,0,60.37,35,2.9,2.81,101.53
8478406,M. Blackwood,SJS,G,58090,18,532,592,0,0.4000000000000101,0,62.11,34,0.02,0.02,0.86
8478435,D. Vladar,CGY,G,27139,8,186,212,0,2.2000000000000033,0,29.99,17,0.29,0.28,4.99
8478470,S. Montembeault,MTL,G,39196,11,305,334,0,28.000000000000004,0,42.94,24,2.57,2.55,62.94
8478492,I. Samsonov,TOR,G,31203,10,224,255,0,1.8000000000000016,0,38.53,23,0.21,0.18,4.8
8478499,A. Hill,VGK,G,50083,14,378,404,2,71.60000000000001,1,50.85,27,5.15,5.11,141.31
8478872,K. Vejmelka,ARI,G,36555,11,288,323,0,-2.399999999999997,0,42.22,24,-0.24,-0.22,-5.79
8478916,J. Daccord,SEA,G,45636,13,324,361,0,7.800000000000004,0,47.98,26,0.62,0.6,16.53
