playerId,name,team,position,toi,gamesPlayed,goals,assists,specialTeams,shots,hits,blockedShots,powerPlayToi,shorthandedToi,plusMinus,fantasyPoints,secondaryPosition,tertiaryPosition,FPP60,FPPG,missedGames,gamesRemaining,fantasyPointsRemain
8476453,N. Kucherov,TBL,R,40470,31,20,32,24,146,15,12,7416,24,-1,106.1,W,F,9.44,3.42,0,50,171.0
8477492,N. MacKinnon,COL,C,42087,31,14,33,16,137,22,29,9091,87,8,99.4,C,F,8.5,3.21,0,51,163.71
8476468,J. Miller,VAN,C,38257,32,15,30,21,74,66,28,8074,3016,12,98.5,C,F,9.27,3.08,0,50,154.0
8479318,A. Matthews,TOR,C,35008,27,23,12,11,121,33,34,5580,1697,4,95.9,C,F,9.86,3.55,0,54,191.7
8480865,N. Dobson,NYI,D,45996,30,5,27,13,72,21,73,5169,2116,17,89.3,D,D,6.99,2.98,0,52,154.96
8477956,D. Pastrnak,BOS,R,34133,29,17,24,18,147,27,5,6353,128,6,86.9,W,F,9.17,3.0,0,53,159.0
8480012,E. Pettersson,VAN,C,38145,32,12,27,17,79,40,28,8427,3168,9,85.4,C,F,8.06,2.67,0,50,133.5
8478403,J. Eichel,VGK,C,39355,32,14,22,12,135,11,29,8416,4016,3,85.1,C,F,7.78,2.66,0,50,133.0
8477933,S. Reinhart,FLA,C,36597,30,17,21,11,72,15,31,6347,3661,16,84.7,C,F,8.33,2.82,0,52,146.64
8480069,C. Makar,COL,D,39139,27,8,29,17,71,13,44,6932,4764,13,83.9,D,D,7.72,3.11,0,51,158.60999999999999
8478550,A. Panarin,NYR,L,34448,29,16,26,19,118,1,5,6275,4,-3,81.9,W,F,8.56,2.82,0,53,149.45999999999998
8476887,F. Forsberg,NSH,L,35090,31,16,20,14,117,47,13,7082,24,3,81.9,W,F,8.4,2.64,0,51,134.64000000000001
8478420,M. Rantanen,COL,R,41973,31,15,24,16,101,17,16,9456,42,5,81.8,W,F,7.02,2.64,0,51,134.64000000000001
8478444,B. Boeser,VAN,R,36080,32,23,14,12,89,15,10,8297,34,10,81.4,W,F,8.12,2.54,0,50,127.0
